Disease_ID,Disease_Name
137,Fibrous Dysplasia of Bone
138,Hypotension
139,Lung Neoplasms
140,Adenomatoid Tumor
141,Factor XIII Deficiency
142,Pulmonary Embolism
143,Spondylolisthesis
144,Rubella
145,Vulvodynia
146,"Adenoma, Pleomorphic"
147,"Leukemia, Lymphocytic, Chronic, B-Cell"
148,Stevens-Johnson Syndrome
149,Anthracosilicosis
150,Viremia
151,Low Back Pain
152,"Leukemia, T-Cell"
153,"Encephalomyelitis, Autoimmune, Experimental"
154,"Malocclusion, Angle Class II"
155,Hereditary Angioedema Type III
156,Femur Head Necrosis
157,Pinealoma
158,Wrist Injuries
159,Gingivitis
160,Cheyne-Stokes Respiration
161,Multiple Trauma
162,Primary Ovarian Insufficiency
163,Colonic Pseudo-Obstruction
164,Hemianopsia
165,Uterine Cervical Dysplasia
166,"Leukemia, Myeloid"
167,Stuttering
168,Hypertrichosis
169,"Ectodermal Dysplasia 1, Anhidrotic"
170,Intracranial Hemorrhages
171,Siderosis
172,Blast Injuries
173,Cardiovirus Infections
174,Porcine Reproductive and Respiratory Syndrome
175,Pruritus
176,"Tuberculosis, Avian"
177,Warts
178,Respiratory Tract Neoplasms
179,Exhibitionism
180,Retroperitoneal Fibrosis
181,Lip Diseases
182,"Glomerulosclerosis, Focal Segmental"
183,"Shock, Surgical"
184,"Esophagitis, Peptic"
185,"Stomatitis, Herpetic"
186,"Hemorrhagic Fever, Crimean"
187,"Histiocytosis, Non-Langerhans-Cell"
188,Compartment Syndromes
189,Neurodegenerative Diseases
190,Situs Inversus
191,"Purpura, Thrombotic Thrombocytopenic"
192,Tooth Loss
193,Cholecystolithiasis
194,Chondroma
195,Carotid Artery Thrombosis
196,"Blindness, Cortical"
197,"Myoclonic Epilepsies, Progressive"
198,Glycogen Storage Disease Type II
199,"Burns, Electric"
200,Iron Metabolism Disorders
201,Lung Abscess
202,Moraxellaceae Infections
203,"Amputation, Traumatic"
204,"Osteoarthropathy, Primary Hypertrophic"
205,"Paraneoplastic Syndromes, Nervous System"
206,Ureaplasma Infections
207,Mastoiditis
208,"Pemphigus, Benign Familial"
209,Pyoderma Gangrenosum
210,"Tuberculosis, Central Nervous System"
211,Yellow Fever
212,Hypoprothrombinemias
213,"Hypertension, Portal"
214,"Tuberculosis, Laryngeal"
215,Rhabdoviridae Infections
216,Paratuberculosis
217,"Pregnancy Complications, Cardiovascular"
218,"Dendritic Cell Sarcoma, Follicular"
219,Feeding and Eating Disorders of Childhood
220,Phencyclidine Abuse
221,Poisoning
222,"Optic Atrophies, Hereditary"
223,Urticaria Pigmentosa
224,"Anemia, Neonatal"
225,Popliteal Cyst
226,Fetal Macrosomia
227,Vaginismus
228,"Fractures, Stress"
229,Cementoma
230,Enophthalmos
231,Myeloproliferative Disorders
232,Dermatitis
233,Influenza in Birds
234,Shoulder Fractures
235,Syringoma
236,Hirsutism
237,Dengue
238,Myelodysplastic Syndromes
239,Mucopolysaccharidosis III
240,Malocclusion
241,Lens Diseases
242,Rhabdoid Tumor
243,Decapitation
244,Retinitis
245,Compulsive Personality Disorder
246,Hyperpituitarism
247,Marek Disease
248,Headache Disorders
249,"Purpura, Thrombocytopenic"
250,Spinal Dysraphism
251,Respirovirus Infections
252,"Liver Cirrhosis, Alcoholic"
253,"Placenta, Retained"
254,"Hematoma, Subdural"
255,"Radiation Injuries, Experimental"
256,Gastrointestinal Hemorrhage
257,Hyperesthesia
258,Panic Disorder
259,Sudden Infant Death
260,Aortic Coarctation
261,Cryptogenic Organizing Pneumonia
262,Splenic Neoplasms
263,Candidiasis
264,"Aspergillosis, Allergic Bronchopulmonary"
265,"Genital Diseases, Male"
266,Ankylosis
267,Keloid
268,"Corneal Dystrophies, Hereditary"
269,Fissure in Ano
270,Foreign-Body Reaction
271,Ataxia Telangiectasia
272,Neurosyphilis
273,Sialadenitis
274,Tularemia
275,Onychomycosis
276,Vascular Malformations
277,Drug Eruptions
278,Mesenteric Cyst
279,Choroideremia
280,Multiple Endocrine Neoplasia
281,Thyroiditis
282,"Hyperoxaluria, Primary"
283,Phagocyte Bactericidal Dysfunction
284,HELLP Syndrome
285,Alien Hand Syndrome
286,Trichomonas Infections
287,Urethral Stricture
288,Endocardial Cushion Defects
289,"Gastritis, Hypertrophic"
290,Stiff-Person Syndrome
291,Melorheostosis
292,Herpesviridae Infections
293,"Pregnancy Complications, Parasitic"
294,Hemangioblastoma
295,Endometriosis
296,Glycogen Storage Disease Type V
297,Myoepithelioma
298,Ureteral Obstruction
299,Amelogenesis Imperfecta
300,"Infarction, Posterior Cerebral Artery"
301,"Epilepsy, Absence"
302,Extensively Drug-Resistant Tuberculosis
303,Pasteurella Infections
304,"Jaw, Edentulous, Partially"
305,Malnutrition
306,"Dementia, Multi-Infarct"
307,Ureterocele
308,"Dyslexia, Acquired"
309,Uveal Diseases
310,Kartagener Syndrome
311,Nose Neoplasms
312,Angiodysplasia
313,Adenosarcoma
314,Periodontal Diseases
315,Campylobacter Infections
316,Myoclonic Cerebellar Dyssynergia
317,Epispadias
318,Miller Fisher Syndrome
319,Pubic Symphysis Diastasis
320,Chondrodysplasia Punctata
321,Ketosis
322,Multiple Organ Failure
323,Oligospermia
324,Elimination Disorders
325,Chorea
326,Fecal Incontinence
327,Malabsorption Syndromes
328,Poxviridae Infections
329,Bronchial Hyperreactivity
330,Dental Fistula
331,"Polychondritis, Relapsing"
332,Submandibular Gland Diseases
333,Yin Deficiency
334,"Tooth Eruption, Ectopic"
335,Rectal Prolapse
336,Arbovirus Infections
337,"Nails, Ingrown"
338,Cholangitis
339,"Pancreatitis, Alcoholic"
340,"Myositis, Inclusion Body"
341,Coronary Thrombosis
342,Klatskin's Tumor
343,Median Neuropathy
344,Torsades de Pointes
345,Laboratory Infection
346,Vulvar Vestibulitis
347,Bronchial Diseases
348,Tauopathies
349,Taeniasis
350,Postoperative Hemorrhage
351,"Sexually Transmitted Diseases, Bacterial"
352,"Leukemia, Experimental"
353,Altitude Sickness
354,Synovitis
355,"Intracranial Hemorrhage, Hypertensive"
356,Amphetamine-Related Disorders
357,Dwarfism
358,Radial Neuropathy
359,Colles' Fracture
360,Anencephaly
361,Megacolon
362,Pigmentation Disorders
363,Capillary Leak Syndrome
364,"Osteoarthropathy, Secondary Hypertrophic"
365,Tyrosinemias
366,Wallerian Degeneration
367,Mucocutaneous Lymph Node Syndrome
368,Basal Ganglia Cerebrovascular Disease
369,Atherosclerosis
370,Pancreatitis
371,"Schizophrenia, Paranoid"
372,Erythema Induratum
373,Skin Diseases
374,Spinal Neoplasms
375,Abscess
376,Dehydration
377,"Heart Failure, Diastolic"
378,Retinal Dysplasia
379,Synostosis
380,Self Mutilation
381,"Gait Disorders, Neurologic"
382,Hepatic Veno-Occlusive Disease
383,"Urinary Bladder, Neurogenic"
384,"Neoplasms, Basal Cell"
385,Reoviridae Infections
386,Sleep Initiation and Maintenance Disorders
387,Craniosynostoses
388,Hemoperitoneum
389,Nerve Sheath Neoplasms
390,Thrombocytosis
391,Cochlear Diseases
392,Aortitis
393,Bovine Virus Diarrhea-Mucosal Disease
394,"Communicable Diseases, Emerging"
395,Bone Resorption
396,Calciphylaxis
397,Glycogen Storage Disease Type IV
398,Iatrogenic Disease
399,Osteoradionecrosis
400,Romano-Ward Syndrome
401,Sadism
402,Thalassemia
403,Peripheral Vascular Diseases
404,"Leukomalacia, Periventricular"
405,"Muscular Dystrophies, Limb-Girdle"
406,"Spondylitis, Ankylosing"
407,Pancreatic Neoplasms
408,Myiasis
409,Bile Duct Diseases
410,"Leprosy, Borderline"
411,"Hypotension, Orthostatic"
412,Osteosclerosis
413,Thymus Neoplasms
414,Cerebral Hemorrhage
415,Diabetic Ketoacidosis
416,Emphysema
417,Eye Burns
418,Heartwater Disease
419,Huntington Disease
420,Meningocele
421,Salivary Gland Calculi
422,Rocky Mountain Spotted Fever
423,"Scleroderma, Limited"
424,Dental Enamel Hypoplasia
425,Wolman Disease
426,Diverticulum
427,Female Urogenital Diseases
428,Laryngitis
429,Meningeal Carcinomatosis
430,Myofibromatosis
431,"Neoplasms, Fibrous Tissue"
432,Sialic Acid Storage Disease
433,Lipodystrophy
434,"Fibromatosis, Gingival"
435,Duodenal Neoplasms
436,"Hemorrhagic Fever, American"
437,Laryngostenosis
438,Venous Thromboembolism
439,22q11 Deletion Syndrome
440,Chromosome Fragility
441,Bone Malalignment
442,Tracheobronchomalacia
443,Blindness
444,Protein-Energy Malnutrition
445,Subacute Sclerosing Panencephalitis
446,Parapsoriasis
447,Relapsing Fever
448,"Colorectal Neoplasms, Hereditary Nonpolyposis"
449,Wolff-Parkinson-White Syndrome
450,Splenic Diseases
451,WAGR Syndrome
452,"Gonadal Dysgenesis, 46,XX"
453,Esophageal Diseases
454,Tick Toxicoses
455,"Enterocolitis, Neutropenic"
456,"Epilepsies, Myoclonic"
457,Graft vs Host Disease
458,Leg Injuries
459,Macrocephaly
460,Pseudotumor Cerebri
461,Slow Virus Diseases
462,Speech Disorders
463,Crush Syndrome
464,Hip Contracture
465,Embolism
466,Periapical Diseases
467,Vascular Neoplasms
468,Bladder Exstrophy
469,"Leukemia, Monocytic, Acute"
470,Infection
471,Cystitis
472,Ocular Hypertension
473,"Papilloma, Intraductal"
474,Pneumococcal Infections
475,Pulmonary Subvalvular Stenosis
476,"Anemia, Hemolytic, Congenital"
477,"Neoplasms, Unknown Primary"
478,Hallermann's Syndrome
479,Sleep-Wake Transition Disorders
480,Esophageal Atresia
481,Suppuration
482,Fascioloidiasis
483,Lassa Fever
484,Peritonitis
485,Scleredema Adultorum
486,Thrombophilia
487,Fournier Gangrene
488,"Lupus Erythematosus, Systemic"
489,"Vasculitis, Central Nervous System"
490,alpha 1-Antitrypsin Deficiency
491,Dysentery
492,Hallux Rigidus
493,Bronchial Neoplasms
494,"Encephalomyelitis, Equine"
495,Endometrial Hyperplasia
496,Mesenteric Lymphadenitis
497,Helicobacter Infections
498,Choroidal Neovascularization
499,Bronchopulmonary Dysplasia
500,Mite Infestations
501,"Empyema, Tuberculous"
502,Gas Gangrene
503,Hemopneumothorax
504,Toxemia
505,Whiplash Injuries
506,Blood Platelet Disorders
507,Periventricular Nodular Heterotopia
508,Overnutrition
509,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
510,"Dysentery, Bacillary"
511,"Tuberculosis, Meningeal"
512,Otorhinolaryngologic Neoplasms
513,Hysteria
514,"Hyperostosis, Sternocostoclavicular"
515,Hyperoxaluria
516,Myelolipoma
517,Myosarcoma
518,Mongolian Spot
519,"Neoplasms, Connective Tissue"
520,"Intestinal Diseases, Parasitic"
521,"Porphyrias, Hepatic"
522,"Carbohydrate Metabolism, Inborn Errors"
523,Thromboangiitis Obliterans
524,Taste Disorders
525,Acrospiroma
526,Apraxias
527,Bradycardia
528,Retinal Dystrophies
529,"Arthritis, Rheumatoid"
530,Osteochondritis Dissecans
531,Gonorrhea
532,Stomach Neoplasms
533,Diphyllobothriasis
534,"Pleuropneumonia, Contagious"
535,Lichen Sclerosus et Atrophicus
536,Scabies
537,Spinal Cord Diseases
538,Fetal Diseases
539,Celiac Disease
540,Renal Artery Obstruction
541,Fetal Alcohol Syndrome
542,"Adenovirus Infections, Human"
543,Communicable Diseases
544,Fat Necrosis
545,Fetal Death
546,Spinal Cord Vascular Diseases
547,"Tuberculosis, Female Genital"
548,Fucosidosis
549,Otitis
550,Neurofibromatosis 1
551,"Leukoencephalopathy, Progressive Multifocal"
552,Achondroplasia
553,Lip Neoplasms
554,Myxedema
555,Hypobetalipoproteinemias
556,Tuberculoma
557,Acute Chest Syndrome
558,Gliosarcoma
559,Lymphocytic Choriomeningitis
560,Central Nervous System Fungal Infections
561,Marburg Virus Disease
562,"Mycobacterium Infections, Atypical"
563,"Goiter, Endemic"
564,"Embolism, Cholesterol"
565,Galactosemias
566,Glioblastoma
567,Paronychia
568,Inflammatory Bowel Diseases
569,"Vision, Low"
570,Esophageal Achalasia
571,"Aphasia, Conduction"
572,"Anemia, Megaloblastic"
573,"Diverticulum, Stomach"
574,Hypoplastic Left Heart Syndrome
575,Mediastinal Neoplasms
576,Ecchymosis
577,"Aortic Aneurysm, Abdominal"
578,"Bone Diseases, Infectious"
579,Dupuytren Contracture
580,Focal Infection
581,"Actinomycosis, Cervicofacial"
582,Priapism
583,Yaws
584,"Tuberculosis, Pulmonary"
585,alpha-Thalassemia
586,"Adenoma, Islet Cell"
587,Cystinuria
588,Urinary Calculi
589,Trichuriasis
590,"Anemia, Aplastic"
591,"Lymphohistiocytosis, Hemophagocytic"
592,"Pain, Intractable"
593,Autistic Disorder
594,"Parasitic Diseases, Animal"
595,Alcohol Amnestic Disorder
596,Prolapse
597,Intermittent Claudication
598,Gingival Pocket
599,"Acidosis, Renal Tubular"
600,Fetal Growth Retardation
601,Scheuermann Disease
602,"Ventricular Dysfunction, Right"
603,"Encephalomyelitis, Venezuelan Equine"
604,Single Umbilical Artery
605,Silo Filler's Disease
606,Bronchogenic Cyst
607,Lung Injury
608,X-Linked Combined Immunodeficiency Diseases
609,Carpal Tunnel Syndrome
610,Acrodynia
611,Brucellosis
612,Hermanski-Pudlak Syndrome
613,Myocardial Stunning
614,Hallux Valgus
615,Hypoalbuminemia
616,Anaplasmataceae Infections
617,Birnaviridae Infections
618,Nail-Patella Syndrome
619,Complex Regional Pain Syndromes
620,"Fatty Liver, Alcoholic"
621,Fibroadenoma
622,Multiple Sulfatase Deficiency Disease
623,Staphylococcal Skin Infections
624,Prune Belly Syndrome
625,Rickettsiaceae Infections
626,Corneal Ulcer
627,Lyme Disease
628,Facial Nerve Injuries
629,"Leukemia, Biphenotypic, Acute"
630,"Phenylketonuria, Maternal"
631,Esophageal Stenosis
632,"Embolism, Air"
633,Amniotic Band Syndrome
634,Gonadoblastoma
635,Glucosephosphate Dehydrogenase Deficiency
636,Heel Spur
637,Hyperuricemia
638,Enterobiasis
639,Arachnoiditis
640,"Leukemia, Prolymphocytic"
641,"Polycystic Kidney, Autosomal Dominant"
642,Temporomandibular Joint Dysfunction Syndrome
643,"Hematoma, Subdural, Spinal"
644,Hemoglobin C Disease
645,Burns
646,"Eye Injuries, Penetrating"
647,Finger Injuries
648,Causalgia
649,Muscle Spasticity
650,Hyperacusis
651,Colonic Diseases
652,Emergencies
653,Nasopharyngeal Diseases
654,Latent Tuberculosis
655,Scleromyxedema
656,Steatorrhea
657,Graves Ophthalmopathy
658,Hajdu-Cheney Syndrome
659,Osteitis Fibrosa Cystica
660,Maxillary Sinus Neoplasms
661,Cheilitis
662,"Influenza, Human"
663,Chromosome Duplication
664,Mesothelioma
665,Pityriasis
666,Pityriasis Lichenoides
667,"Jaundice, Obstructive"
668,Consciousness Disorders
669,Orofaciodigital Syndromes
670,Angelman Syndrome
671,Tooth Abrasion
672,Pyruvate Dehydrogenase Complex Deficiency Disease
673,Myasthenia Gravis
674,Dentin Dysplasia
675,"Pleural Effusion, Malignant"
676,Catalepsy
677,Cervical Rib Syndrome
678,Impulse Control Disorders
679,Prion Diseases
680,Tangier Disease
681,Ovarian Diseases
682,Neurologic Manifestations
683,Hypochondriasis
684,Eyelid Neoplasms
685,Lissencephaly
686,"Neoplasms, Multiple Primary"
687,"Pericarditis, Tuberculous"
688,Bruxism
689,Chromoblastomycosis
690,Glycogen Storage Disease
691,"46, XX Disorders of Sex Development"
692,Berylliosis
693,"Carcinoma, Lobular"
694,"Meningitis, Pneumococcal"
695,Anisocoria
696,Environmental Illness
697,Oral Hemorrhage
698,Disease
699,Athetosis
700,"Bronchitis, Chronic"
701,Somatostatinoma
702,"Nevus, Intradermal"
703,"Granuloma, Pyogenic"
704,Syndactyly
705,Joint Instability
706,Maxillary Sinusitis
707,Wegener Granulomatosis
708,Manganese Poisoning
709,Splenosis
710,Ventricular Remodeling
711,Uterine Inertia
712,Spondylarthropathies
713,Anal Gland Neoplasms
714,Metabolic Syndrome X
715,Parkinson Disease
716,Homocystinuria
717,"Hand Deformities, Congenital"
718,"Angioedemas, Hereditary"
719,Facial Dermatoses
720,"Gonadal Dysgenesis, Mixed"
721,Muscle Hypertonia
722,Papillomavirus Infections
723,Spinal Diseases
724,Angina Pectoris
725,Inflammation
726,"Syncope, Vasovagal"
727,Fasciculation
728,Immunologic Deficiency Syndromes
729,Rectal Fistula
730,Osteochondromatosis
731,"Embolism, Paradoxical"
732,"Anemia, Iron-Deficiency"
733,Ergotism
734,Neuromuscular Junction Diseases
735,Arrhythmogenic Right Ventricular Dysplasia
736,Monoclonal Gammopathy of Undetermined Significance
737,Disorders of Sex Development
738,Oligomenorrhea
739,Pancreatic Pseudocyst
740,"Diabetes Mellitus, Experimental"
741,Smallpox
742,"Tongue, Hairy"
743,Tooth Resorption
744,Cockayne Syndrome
745,"Dyspnea, Paroxysmal"
746,"Hyperparathyroidism, Secondary"
747,Klinefelter Syndrome
748,Odontogenic Tumors
749,"Fibrous Dysplasia, Monostotic"
750,Root Resorption
751,Uterine Neoplasms
752,"Malaria, Cerebral"
753,Hereditary Autoinflammatory Diseases
754,"Porphyria, Acute Intermittent"
755,Odontogenic Cysts
756,Papilledema
757,Retinal Vein Occlusion
758,Pulmonary Atelectasis
759,Arsenic Poisoning
760,Borna Disease
761,Acute Generalized Exanthematous Pustulosis
762,"Dermatitis, Atopic"
763,"Enterocolitis, Pseudomembranous"
764,Lupus Nephritis
765,Cardiovascular Abnormalities
766,Pseudorabies
767,Angiofibroma
768,"Ophthalmia, Sympathetic"
769,Chorea Gravidarum
770,"Embolism, Fat"
771,Central Nervous System Diseases
772,Dry Eye Syndromes
773,"Wounds, Stab"
774,Eosinophilic Granuloma
775,Acquired Hyperostosis Syndrome
776,"Optic Atrophy, Hereditary, Leber"
777,Connective Tissue Diseases
778,"Leukemia, Myeloid, Acute"
779,"Nose Deformities, Acquired"
780,Intracranial Hypertension
781,Brachial Plexus Neuritis
782,"Adenocarcinoma, Sebaceous"
783,Psoriasis
784,Eye Abnormalities
785,Splenic Infarction
786,TDP-43 Proteinopathies
787,Cystinosis
788,Canavan Disease
789,De Quervain Disease
790,beta-Mannosidosis
791,Frostbite
792,"Menopause, Premature"
793,Meningism
794,Lethargy
795,Polyuria
796,"Limb Deformities, Congenital"
797,Pituitary Diseases
798,"Dermatitis, Seborrheic"
799,"Head Injuries, Closed"
800,Pleurisy
801,Tics
802,"Uveitis, Posterior"
803,Cerebral Palsy
804,Prenatal Injuries
805,"Liver Failure, Acute"
806,Vertigo
807,Child Behavior Disorders
808,"Fractures, Closed"
809,"Stress Disorders, Post-Traumatic"
810,Agnosia
811,REM Sleep Parasomnias
812,"Reflex, Babinski"
813,Peutz-Jeghers Syndrome
814,Rhabdomyolysis
815,Cardiomyopathies
816,Trichomonas Vaginitis
817,Kaposi Varicelliform Eruption
818,Chondromatosis
819,Afibrinogenemia
820,Sarcoidosis
821,Fatty Liver
822,Odontoma
823,Foot Diseases
824,Cecal Neoplasms
825,Hoarseness
826,No-Reflow Phenomenon
827,Serum Sickness
828,Chromosome Inversion
829,Polyarteritis Nodosa
830,Aspergillosis
831,Mitochondrial Encephalomyopathies
832,Thyroid Neoplasms
833,PC12 Cells
834,Duodenogastric Reflux
835,Hematologic Diseases
836,Proteinuria
837,Refsum Disease
838,Hemobilia
839,"Sleep Apnea, Obstructive"
840,"Encephalomyelitis, Western Equine"
841,Venous Thrombosis
842,Rubulavirus Infections
843,"Leukemia, Radiation-Induced"
844,Kwashiorkor
845,"Leukemia, Erythroblastic, Acute"
846,"Leukoplakia, Oral"
847,Weil Disease
848,Facial Asymmetry
849,Lentigo
850,Polyneuropathies
851,Antiphospholipid Syndrome
852,Placental Insufficiency
853,Arteriosclerosis
854,"Glossitis, Benign Migratory"
855,Noonan Syndrome
856,Arterial Occlusive Diseases
857,Skull Base Neoplasms
858,"Urinary Bladder, Overactive"
859,Periodontal Abscess
860,Maxillofacial Abnormalities
861,"Shock, Hemorrhagic"
862,Ebstein Anomaly
863,Micrognathism
864,"Muscular Atrophy, Spinal"
865,Intra-Articular Fractures
866,Acute Coronary Syndrome
867,Glucose Intolerance
868,Piebaldism
869,Splenic Rupture
870,Facial Neuralgia
871,Cholestasis
872,Vitelliform Macular Dystrophy
873,Pressure Ulcer
874,"Dermatitis, Occupational"
875,Diffuse Cerebral Sclerosis of Schilder
876,Sexual and Gender Disorders
877,Gallbladder Neoplasms
878,Gastroschisis
879,"Insomnia, Fatal Familial"
880,"Elephantiasis, Filarial"
881,Shy-Drager Syndrome
882,"Cholestasis, Intrahepatic"
883,"Sarcoma, Synovial"
884,Chiari-Frommel Syndrome
885,Pilomatrixoma
886,"Cardiomyopathy, Restrictive"
887,Corneal Edema
888,Cryopyrin-Associated Periodic Syndromes
889,"Respiratory Distress Syndrome, Adult"
890,Serotonin Syndrome
891,Ancylostomiasis
892,Fibrocystic Breast Disease
893,Cubital Tunnel Syndrome
894,Polyradiculoneuropathy
895,Tinnitus
896,Lipoid Proteinosis of Urbach and Wiethe
897,Tendon Injuries
898,Sleep Paralysis
899,Femoral Neoplasms
900,Photophobia
901,Lathyrism
902,Soft Tissue Injuries
903,"Heart Defects, Congenital"
904,Postpericardiotomy Syndrome
905,Hyperlipoproteinemia Type I
906,Graves Disease
907,Rat-Bite Fever
908,Sarcoma 37
909,Facial Neoplasms
910,Uremia
911,Peptic Ulcer
912,Multiple Endocrine Neoplasia Type 2a
913,Solitary Fibrous Tumors
914,Flail Chest
915,Microphthalmos
916,Hematuria
917,"Tachycardia, Sinoatrial Nodal Reentry"
918,Anomia
919,"Cardiomyopathy, Hypertrophic"
920,Haemophilus Infections
921,Rotavirus Infections
922,Vaginitis
923,Port-Wine Stain
924,Gynatresia
925,Passive-Aggressive Personality Disorder
926,"Toxoplasmosis, Ocular"
927,Dent Disease
928,Myokymia
929,Classical Swine Fever
930,Gonadal Dysgenesis
931,"Pneumonia, Atypical Interstitial, of Cattle"
932,Thrombosis
933,Chromosomal Instability
934,"Epilepsy, Partial, Sensory"
935,Dystocia
936,Diffuse Axonal Injury
937,Mucolipidoses
938,"Myopathies, Nemaline"
939,Epidural Neoplasms
940,Orbital Neoplasms
941,Coagulation Protein Disorders
942,Facial Injuries
943,Small Cell Lung Carcinoma
944,Spirochaetales Infections
945,"Pemphigoid, Benign Mucous Membrane"
946,Brain Concussion
947,"Hepatitis, Infectious Canine"
948,Opisthorchiasis
949,Choroiditis
950,Lymphangiomyoma
951,"Heart Rupture, Post-Infarction"
952,Ageusia
953,Contusions
954,Electric Injuries
955,Nerve Degeneration
956,Choristoma
957,Breech Presentation
958,"Rhinitis, Atrophic"
959,Mastocytosis
960,Bronchiolitis Obliterans
961,Vulvar Neoplasms
962,"Leukemia, Promyelocytic, Acute"
963,Neuronal Ceroid-Lipofuscinoses
964,Frontotemporal Dementia
965,Language Disorders
966,"Mouth, Edentulous"
967,Prenatal Exposure Delayed Effects
968,Liver Failure
969,Immunoblastic Lymphadenopathy
970,"Trypanosomiasis, Bovine"
971,Corynebacterium Infections
972,"Leiomyoma, Epithelioid"
973,Mitral Valve Stenosis
974,Chylous Ascites
975,"Pemphigoid, Bullous"
976,Hemarthrosis
977,Paraplegia
978,Abruptio Placentae
979,"Steroid Metabolism, Inborn Errors"
980,Scleritis
981,Trombiculiasis
982,"Acidosis, Respiratory"
983,"Tachycardia, Atrioventricular Nodal Reentry"
984,Vision Disorders
985,Iritis
986,Soft Tissue Infections
987,Blepharitis
988,Herpes Labialis
989,Microstomia
990,Autoimmune Diseases of the Nervous System
991,Deficiency Diseases
992,Intracranial Aneurysm
993,"Carcinoma, Brown-Pearce"
994,Knee Dislocation
995,Overbite
996,Parasomnias
997,Cat-Scratch Disease
998,Adrenal Cortex Diseases
999,HIV Wasting Syndrome
1000,Hyperthyroxinemia
1001,Paraphilias
1002,Discrete Subaortic Stenosis
1003,Cytomegalovirus Retinitis
